respondent_id,score,feedback,nps_reason_primary,nps_reason_secondary,primary_category,plan_type,city,tenure_days,source,sprint_id,sprint_start
9d07b3ad6458,0,Service bahot bekaar hai,General Bad Service,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
8d24ee7116f6,1,,,,,Verma,,270,CT,Sprint 3,2026-08-01
03702831436a,0,Very bad service ðŸ˜”,General Bad Service,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
30341867b675,10,Best service,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
6360a54da45f,10,Good Speed,Good Speed,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
30d82dee75c0,10,Good speed,Good Speed,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
ededcd0020cb,10,Net ki speed,Good Speed,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
815c0b0f6fb6,10,Best WiFi for everyone I am very happy â˜ºï¸_x008f_ service providers,General Good Service,,Good Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
8b94ef773017,10,Bhut badiya net chalta hai,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
84e579450de2,10,Good,General Good Service,,Good Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
dc53fa4fae84,10,Network problem nhi hoti hai kbhi bhi,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
afd2d4c40255,10,Nice ðŸ‘_x008d_,General Good Service,,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
f00d2e8d9052,0,,,,,Verma,,45,CT,Sprint 3,2026-08-01
de7a8fbc96f3,10,Best castomer service,Good Customer Support - Call Centre,,Good Cx Support,Verma,,270,CT,Sprint 3,2026-08-01
bdcff99df4bf,0,Av v net nahi chal raha hai,Internet Down,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
3f49e220f041,0,Wiom ne 5 din tak data nhi diya,Internet Down,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
03175e610756,10,Speed and price,Good Speed,Affordable,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
b4b988bfea8c,0,Mera Khud ka wiom ka kuch internet nhi chal rha h bar bar pareshan kar rha h abhi bhi nhi chal rha h,General Bad Service,,Bad Internet Experience,Verma,,45,CT,Sprint 3,2026-08-01
226e0bfc41da,10,Ji ha,,,,Verma,,270,CT,Sprint 3,2026-08-01
1eb26e3bf7d7,8,Ji ha zarur Kahunga,,,,Verma,,135,CT,Sprint 3,2026-08-01
3bbecfff6ce4,0,"मेरा खुद का नेट 4 दिन से बंद पड़ा है। कोई सुनने वाला नहीं है और न ही किसी समस्या का समाधान हो रहा है। मैं खुद परेशान हूँ, तो किसी और को क्यों फँसाना।",No/ Late Complaint Resolution,Internet Down,Bad Cx Support,Verma,,270,CT,Sprint 3,2026-08-01
a8e679b8a350,10,Wiom wifi is super with good internet speed and customer service and support thank you wiom,Good Speed,Good Customer Support - Call Centre,Good Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
c7e544f18099,0,Hamare wifi ki speed thik nhi aati h,Slow Speed,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
338623b38760,0,Because the internet is not working and even today or even now my internet is not working,Internet Down,,Bad Internet Experience,Verma,,135,CT,Sprint 3,2026-08-01
216a853c1d11,4,,,,,Verma,,270,CT,Sprint 3,2026-08-01
f85862f39c7a,10,,,,,Verma,,135,CT,Sprint 3,2026-08-01
ff2770e8bf5b,10,,,,,Verma,,135,CT,Sprint 3,2026-08-01
62ad9f40a493,10,,,,,Verma,,45,CT,Sprint 3,2026-08-01
5da4e906d4c0,10,,,,,Verma,,135,CT,Sprint 3,2026-08-01
af040af985c8,2,Internet service is breakdown....any time.,Frequent Disconnections,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
66d5209a972c,9,,,,,Verma,,135,CT,Sprint 3,2026-08-01
9d87e3060718,10,वाई-फ़ाई अभी भी नहीं चल रहा है।,Internet Down,,Bad Internet Experience,Verma,,270,CT,Sprint 3,2026-08-01
b570b911b505,1,,,,,Verma,,270,CT,Sprint 3,2026-08-01
294af0391ff9,0,Kabhi nahi,,,,Verma,,135,CT,Sprint 3,2026-08-01
20962128f6dc,10,Bhai yah kya drama Hai dimag kharab kar rakha hai,,,,Verma,,45,CT,Sprint 3,2026-08-01
a02d3b65a7f9,10,Bilkul,,,,Verma,,45,CT,Sprint 3,2026-08-01
328fa3f9d7ef,10,Bilkul kahenge,,,,Verma,,270,CT,Sprint 3,2026-08-01
534d461a2f30,9,Gg,,,,Verma,,270,CT,Sprint 3,2026-08-01
be3c012b9410,5,Ha jaru,,,,Verma,,135,CT,Sprint 3,2026-08-01
eafecf7fdf7a,5,Half Half hai,,,,Verma,,270,CT,Sprint 3,2026-08-01
3ddbf517c111,5,Han bol denge,,,,Verma,,270,CT,Sprint 3,2026-08-01
07b1c3445efc,1,Han ji bolenge,,,,Verma,,135,CT,Sprint 3,2026-08-01
e9fbe9b368f3,10,I have recommended to everyone,,,,Verma,,270,CT,Sprint 3,2026-08-01
21f75ac48dea,10,I would like to recommend this wifi connection to my relatives,,,,Verma,,270,CT,Sprint 3,2026-08-01
1c827d7882e0,10,Jaroor kahenge,,,,Verma,,270,CT,Sprint 3,2026-08-01
9ab427a29b1a,10,Jaryr bolunga,,,,Verma,,45,CT,Sprint 3,2026-08-01
ac2126b4ab89,2,Ka se swfwfmukzkh,,,,Verma,,270,CT,Sprint 3,2026-08-01
08f2af913571,1,Kuch nahi,,,,Verma,,135,CT,Sprint 3,2026-08-01
df3f93660f67,10,Maine 5 logo ke connection karvayen,,,,Verma,,270,CT,Sprint 3,2026-08-01
0ee1e9abfa00,0,Nahi bilkul nahi,,,,Verma,,135,CT,Sprint 3,2026-08-01
